# 71 reference human tissues
# Material Name, Atomic Number, Mass Fraction, .... Den, RED, Zeff, I, SPR, HUlow,HUHigh, ,,,,,,,,,,,,,,,,,,,,,,,,
Tissue_29,1,10.2,8,71,6,14.3,7,3.4,17,0.1,20,0,15,0.2,11,0.1,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.4,26,0, Den,1.05
Tissue_30,1,9.9,8,69.8,6,14.7,7,4.2,17,0,20,0.4,15,0.4,11,0.2,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.05
Tissue_31,1,10.2,8,74.5,6,11.2,7,3,17,0.1,20,0,15,0.2,11,0.1,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.4,26,0, Den,1.05
Tissue_32,1,10.4,8,75.6,6,10.3,7,2.7,17,0.2,20,0,15,0.2,11,0.1,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.3,26,0, Den,1.05
Tissue_33,1,10.2,8,69.8,6,15.8,7,3.7,17,0.1,20,0,15,0.1,11,0.1,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.06
Tissue_34,1,10.4,8,75.2,6,10.6,7,2.7,17,0.2,20,0.1,15,0.2,11,0.2,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.2,26,0, Den,1.05
Tissue_35,1,10.5,8,76.8,6,9.3,7,2.4,17,0.2,20,0,15,0.2,11,0.2,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.2,26,0, Den,1.05
Tissue_36,1,9.6,8,64.6,6,19.5,7,5.7,17,0.1,20,0,15,0.1,11,0.1,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.07
Tissue_37,1,10.2,8,71.6,6,13.9,7,3,17,0.2,20,0,15,0.3,11,0.2,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.3,26,0, Den,1.06
Tissue_38,1,10.3,8,74.1,6,11.3,7,3.2,17,0.2,20,0,15,0.3,11,0.1,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.3,26,0, Den,1.06
Tissue_39,1,10.1,8,71.3,6,13.9,7,3.3,17,0.1,20,0,15,0.4,11,0.1,12,0,16,0.4,14,0,5,0,13,0,53,0,19,0.4,26,0, Den,1.06
Tissue_40,1,10.3,8,73.4,6,12.1,7,3.2,17,0.3,20,0,15,0.1,11,0.1,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.2,26,0.1, Den,1.06
Tissue_41,1,10.2,8,74.5,6,11,7,3.3,17,0.3,20,0,15,0.1,11,0.1,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.2,26,0.1, Den,1.06
Tissue_42,1,10.1,8,72.7,6,12.6,7,3.3,17,0.2,20,0,15,0.3,11,0.2,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.3,26,0, Den,1.07
Tissue_43,1,10,8,59.4,6,25,7,4.6,17,0.3,20,0,15,0.1,11,0.2,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.09
Tissue_44,1,10,8,64.5,6,20.4,7,4.2,17,0.3,20,0,15,0.1,11,0.2,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.09
Tissue_45,1,10.1,8,69.5,6,15.8,7,3.7,17,0.3,20,0,15,0.1,11,0.2,12,0,16,0.2,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.09
Tissue_46,1,9.4,8,62.2,6,20.7,7,6.2,17,0.3,20,0,15,0,11,0.6,12,0,16,0.6,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.12
Tissue_47,1,9.6,8,74.4,6,9.9,7,2.2,17,0.3,20,0,15,2.2,11,0.5,12,0,16,0.9,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.1
Tissue_48,1,7.8,8,43.8,6,31.6,7,3.7,17,0.1,20,8.5,15,4,11,0,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0.1,26,0.1, Den,1.25
Tissue_49,1,7.4,8,43.8,6,30.2,7,3.7,17,0.1,20,9.8,15,4.5,11,0,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0.1,26,0.1, Den,1.29
Tissue_50,1,7.3,8,47.3,6,26.5,7,3.6,17,0.1,20,9.8,15,4.8,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.3
Tissue_51,1,7.1,8,47.2,6,25.8,7,3.6,17,0.1,20,10.5,15,5.1,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.33
Tissue_52,1,7,8,43.7,6,28.7,7,3.8,17,0.1,20,11.1,15,5.1,11,0,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0.1,26,0.1, Den,1.33
Tissue_53,1,7.1,8,34.2,6,37.9,7,2.6,17,0,20,12.2,15,5.6,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.33
Tissue_54,1,6.9,8,34.7,6,36.6,7,2.7,17,0,20,12.8,15,5.9,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.36
Tissue_55,1,6.6,8,47.1,6,24.3,7,3.7,17,0.1,20,11.9,15,5.7,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.38
Tissue_56,1,6.6,8,43.5,6,27.1,7,3.8,17,0.1,20,12.5,15,5.8,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.39
Tissue_57,1,6.7,8,35.2,6,35.2,7,2.8,17,0,20,13.5,15,6.2,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.39
Tissue_58,1,6.4,8,43.6,6,26.3,7,3.9,17,0.1,20,13.1,15,6,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.41
Tissue_59,1,6.3,8,43.6,6,26.2,7,3.9,17,0.1,20,13.2,15,6.1,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.41
Tissue_60,1,6.3,8,43.6,6,26.1,7,3.9,17,0.1,20,13.3,15,6.1,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.42
Tissue_61,1,6.3,8,36.2,6,33.3,7,2.9,17,0,20,14.3,15,6.6,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.42
Tissue_62,1,6.3,8,36.3,6,33.1,7,2.9,17,0,20,14.4,15,6.6,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.43
Tissue_63,1,6,8,43.5,6,25,7,3.9,17,0.1,20,14.3,15,6.6,11,0.1,12,0,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0.1, Den,1.46
Tissue_64,1,6,8,37,6,31.3,7,3.1,17,0,20,15.2,15,7,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.46
Tissue_65,1,6,8,36.9,6,31.4,7,3.1,17,0,20,15.2,15,7,11,0.1,12,0.1,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.46
Tissue_66,1,5.8,8,37.4,6,30.1,7,3.2,17,0,20,15.8,15,7.2,11,0.1,12,0.2,16,0.2,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.49
Tissue_67,1,5.6,8,43.4,6,23.5,7,4,17,0.1,20,15.6,15,7.2,11,0.1,12,0.1,16,0.3,14,0,5,0,13,0,53,0,19,0.1,26,0, Den,1.52
Tissue_68,1,5,8,43.5,6,21.2,7,4,17,0,20,17.6,15,8.1,11,0.1,12,0.2,16,0.3,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.61
Tissue_69,1,4.6,8,43.5,6,19.9,7,4.1,17,0,20,18.7,15,8.6,11,0.1,12,0.2,16,0.3,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.68
Tissue_70,1,4.2,8,41.5,6,20.4,7,3.8,17,0,20,20.2,15,9.3,11,0.1,12,0.2,16,0.3,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.75
Tissue_71,1,3.4,8,43.5,6,15.5,7,4.2,17,0,20,22.5,15,10.3,11,0.1,12,0.2,16,0.3,14,0,5,0,13,0,53,0,19,0,26,0, Den,1.92
